RANK,PREVIOUS,SCHOOL,CONFERENCE,RECORD,ROAD,NEUTRAL,HOME,NON-DI
1,2,Florida,Southeastern,32-2,10-Feb,5- 0,17-0,0-0
2,1,Arizona,Pac-12,30-Apr,08-Mar,04-Jan,18-0,0-0
3,3,Kansas,Big 12,24-Sep,05-Jun,04-Feb,15-Jan,0-0
4,4,Wichita St.,Missouri Valley,34-0,12-0,5- 0,16-0,1-0
5,5,Villanova,Big East,28-Apr,10-Feb,03-Jan,15-Jan,0-0
6,6,Wisconsin,Big Ten,26-Jul,08-Mar,04-Jan,14-Mar,0-0
7,8,Iowa St.,Big 12,26-Jul,04-Jun,7- 0,15-Jan,0-0
8,11,Virginia,Atlantic Coast,28-Jun,07-Apr,6- 0,15-Feb,0-0
9,7,Duke,Atlantic Coast,26-Aug,04-May,05-Mar,17-0,0-0
10,10,Creighton,Big East,26-Jul,07-Apr,03-Mar,16-0,0-0
11,9,Michigan,Big Ten,25-Aug,07-Apr,05-Feb,13-Feb,0-0
12,13,New Mexico,Mountain West,27-Jun,08-Mar,06-Jan,13-Feb,0-0
13,12,VCU,Atlantic 10,26-Aug,06-May,05-Mar,15-0,0-0
14,14,UCLA,Pac-12,26-Aug,05-May,05-Jan,16-Feb,0-0
15,15,San Diego St.,Mountain West,29-Apr,10-Feb,04-Jan,13-Jan,2-0
16,16,Syracuse,Atlantic Coast,27-May,08-Feb,03-Jan,16-Feb,0-0
17,17,Kentucky,Southeastern,24-Oct,05-May,03-Mar,16-Feb,0-0
18,21,Michigan St.,Big Ten,26-Aug,07-Mar,07-Jan,12-Apr,0-0
19,18,Louisville,AAC,29-May,09-Feb,04-Jan,16-Feb,0-0
20,19,Gonzaga,West Coast,28-Jun,07-Apr,05-Feb,15-0,1-0
21,20,Cincinnati,AAC,27-Jun,07-Mar,02-Feb,18-Jan,0-0
22,22,UConn,AAC,26-Aug,07-Apr,04-Jan,15-Mar,0-0
23,23,Massachusetts,Atlantic 10,24-Aug,07-Apr,06-Feb,11-Feb,0-0
24,24,Ohio St.,Big Ten,25-Sep,05-May,03-Jan,17-Mar,0-0
25,25,North Carolina,Atlantic Coast,23-Sep,06-May,02-Jan,15-Mar,0-0
26,27,Oklahoma,Big 12,23-Sep,05-Apr,04-Feb,14-Mar,0-0
27,26,Saint Louis,Atlantic 10,26-Jun,11-Jan,01-Feb,13-Mar,1-0
28,28,Oregon,Pac-12,23-Sep,05-May,03-Jan,15-Mar,0-0
29,29,George Washington,Atlantic 10,24-Aug,06-May,04-Feb,14-Jan,0-0
30,30,Baylor,Big 12,24-Nov,04-May,06-Feb,12-Apr,2-0
31,31,BYU,West Coast,23-Nov,05-Jul,04-Mar,13-Jan,1-0
32,37,Saint Joseph's,Atlantic 10,24-Sep,08-Apr,05-Jan,11-Apr,0-0
33,32,Southern Miss.,Conference USA,27-Jun,10-May,03-Jan,12-0,2-0
34,33,Colorado,Pac-12,23-Nov,05-Jun,02-Mar,16-Feb,0-0
35,34,North Dakota St.,Summit,25-Jun,10-May,3- 0,09-Jan,3-0
